Intent,Pattern,Response
go_networking,"using gRPC with go","Define services in Protobuf files and use the protoc-gen-go plugin to generate Go code."
go_networking,"customizing http.Client","Set timeouts and custom Transports to control connection pooling and keep-alives."
ml_evaluation,"top-k accuracy","The frequency with which the true label is among the top k predicted labels."
ml_evaluation,"area under the roc curve","AUROC measures the model's ability to distinguish between classes at various thresholds."
ml_evaluation,"mean reciprocal rank","A statistic for evaluating ranking systems based on the position of the first correct answer."
ml_evaluation,"confusion matrix normalization","Dividing by row sums to show percentages of true vs. predicted classes clearly."
lifestyle_360_tech,"360 spatial audio","Recording audio that rotates with the video using a 4-capsule ambisonic microphone."
lifestyle_360_tech,"hevc vs h264 for 360","HEVC (H.265) offers better compression for the high bitrates needed in 5.7K video."
lifestyle_360_tech,"lens flare removal","Use manual exposure and position the stitch line toward the sun to minimize flare."
lifestyle_360_tech,"vlog mode on 360 cameras","Using a single lens for traditional flat video while maintaining the small form factor."
cooking_smoker,"blue smoke vs white smoke","Thin blue smoke indicates clean combustion; thick white smoke can leave a bitter taste."
cooking_smoker,"stall on beef brisket","The plateau where evaporation cools the meat; fix it by wrapping in butcher paper."
cooking_smoker,"water pan in smoker","Adds moisture to the environment to keep the meat surface from drying out too fast."
cooking_smoker,"brining vs injecting","Brining treats the surface/depth over time; injecting puts flavor directly into the center."
go_testing_adv,"mocking interfaces in go","Create a struct that implements the interface and use it to control behavior in tests."
go_testing_adv,"parallel testing","Use t.Parallel() inside test functions to speed up suite execution across CPU cores."
go_testing_adv,"subtests with t.Run","Allows grouping related test cases and sharing setup/teardown logic."
go_testing_adv,"golden file testing","Compare complex output against a saved 'golden' file to detect regression."
system_linux_opt,"using taskset for go apps","Pin your Go process to specific CPU cores to minimize context switching overhead."
system_linux_opt,"adjusting ulimit for sockets","Increase the open files limit to allow a Go server to handle thousands of concurrent TCP links."
system_linux_opt,"systemd for go binaries","Use a simple .service file with ExecStart pointing to your compiled Go executable."
system_linux_opt,"monitoring go with prometheus","Expose a /metrics endpoint using the promohttp package to track goroutines and heap."
math_neural_nets,"vanishing gradient in sigmoids","Sigmoids saturate at 0 or 1, making their derivative nearly zero during backprop."
math_neural_nets,"he initialization for relu","Sets initial weights based on the input size to prevent signal death in ReLU layers."
math_neural_nets,"momentum in optimization","Accelerates gradients in the right direction and dampens oscillations by using past updates."
math_neural_nets,"weight tieing in models","Sharing weights between the input embedding and output projection layers to save space."
nlp_ner_adv,"nested entity recognition","Handling cases where one entity is inside another, like 'University of [Chicago]'."
nlp_ner_adv,"distant supervision","Using existing databases to automatically label a large corpus for training."
nlp_ner_adv,"active learning for tagging","Identifying uncertain samples and asking a human to label them to improve efficiency."
nlp_ner_adv,"cross-lingual ner","Training on one language and transferring the knowledge to detect entities in another."
go_packages,"internal package pattern","Code inside an 'internal' directory can only be imported by its direct parent tree."
go_packages,"init function execution","Init functions run once per package in the order they are imported by the main."
go_packages,"vendoring dependencies","Using 'go mod vendor' to keep a local copy of source code for reproducible builds."
go_packages,"versioning with semantic import","Append /v2 to the module path when making breaking changes to the API."
moe_hardware,"expert parallelism","Distributing different experts across different GPUs to fit massive models in memory."
moe_hardware,"all-to-all communication","The network collective used to route tokens between GPUs in a distributed MoE."
moe_hardware,"load balancing loss weight","The hyperparameter that controls how much to penalize imbalanced expert usage."
moe_hardware,"moe vs dense inference","MoE is faster per-token but requires more VRAM to store all the inactive experts."
photography_workflow,"keyframing 360 video","Setting points in time to dictate where the camera looks during a reframed export."
photography_workflow,"batch exporting clips","Using desktop software to queue multiple 360 files for stitching and rendering."
photography_workflow,"nd filters for 360","Neutral density filters allow for motion blur in bright conditions by lowering shutter speed."
photography_workflow,"gyro stabilization metadata","The camera records movement data to stabilize the horizon during post-processing."
cooking_pressure,"high vs low pressure","High pressure for tough meats; low pressure for delicate items like fish or eggs."
cooking_pressure,"quick vs natural release","Quick release for veg to stop cooking; natural for meat to keep it tender."
cooking_pressure,"the burn notice fix","Ensure there is enough thin liquid and scrape the bottom of the pot (deglaze)."
cooking_pressure,"converting oven recipes","Generally reduce liquid by 25% and cook for about 1/3 of the original time."
go_patterns_adv,"circuit breaker pattern","Stop making requests to a failing service to allow it time to recover."
go_patterns_adv,"singleton in go","Use sync.Once to ensure a global object is initialized exactly once safely."
go_patterns_adv,"observer pattern with channels","Broadcasting messages to multiple subscribers using a slice of channels."
go_patterns_adv,"options as a service","Using a builder pattern or config struct to initialize complex Go systems."
ml_theory_basic,"overfitting vs underfitting","Overfitting is high variance/low bias; Underfitting is high bias/low variance."
ml_theory_basic,"the role of bias in neurons","Allows the activation function to shift, helping the model fit data that isn't centered."
ml_theory_basic,"linear separability","Data is linearly separable if a single hyperplane can divide the different classes."
ml_theory_basic,"inductive bias","The set of assumptions a model uses to predict outputs for inputs it hasn't seen."
robotics_pi,"raspberry pi gpio header","A 40-pin interface for digital I/O, PWM, I2C, and SPI communication."
robotics_pi,"pwm for speed control","Pulse Width Modulation varies the power to a motor to control its rotational speed."
robotics_pi,"spi vs i2c for sensors","SPI is faster and uses more wires; I2C is slower but supports many devices on 2 wires."
robotics_pi,"reading analog sensors","The Pi lacks an ADC; use a chip like the ADS1115 to read analog voltages in Go."
lifestyle_gaming_adv,"wine d3d11 vs d3d12","DirectX 12 is often translated via vkd3d, while DX11 uses DXVK for performance."
lifestyle_gaming_adv,"installing d2se on linux","Requires setting the Windows version to XP or 7 in winecfg for legacy compatibility."
lifestyle_gaming_adv,"linux controller mapping","Use 'jstest-gtk' or Steam Input to map older controllers for use in Wine apps."
lifestyle_gaming_adv,"latency in cloud gaming","The round-trip time between your input and the video frame appearing on screen."
nlp_metrics_adv,"wer (word error rate)","Used in speech-to-text; the number of substitutions, deletions, and insertions."
nlp_metrics_adv,"rouge score for summary","Recall-Oriented Understudy for Gisting Evaluation; measures overlap with references."
nlp_metrics_adv,"matthews correlation coefficient","A quality measure for binary classifications that handles imbalanced classes well."
nlp_metrics_adv,"log loss (logistic loss)","Penalizes confident wrong answers more heavily than hesitant wrong answers."
go_concurrency_deep,"worker pools with closures","Passing tasks as func() variables to workers to allow for dynamic execution logic."
go_concurrency_deep,"unbuffered vs buffered channels","Unbuffered channels provide strong synchronization; buffered allow async bursts."
go_concurrency_deep,"the nil channel trap","Reading or writing to a nil channel blocks forever; closing one panics."
go_concurrency_deep,"atomic.Value for config","Provides a way to atomically load and store arbitrary values like configuration."
math_matrix,"eigenvalues and eigenvectors","Vectors that only change by a scalar factor during a linear transformation."
math_matrix,"singular value decomposition","Decomposing a matrix into three simpler ones, used in PCA and compression."
math_matrix,"stochastic matrices","A square matrix used to describe transitions in a Markov chain."
math_matrix,"jacobian matrix","A matrix of all first-order partial derivatives of a vector-valued function."
go_concurrency,"I'm getting a data race in my worker pool, how do I debug this?","Hey! Try running your tests with the '-race' flag. It'll point out exactly where multiple goroutines are hitting the same memory address."
go_concurrency,"Should I use a mutex or a channel for my MoE router?","For a router, I'd suggest a channel to distribute the tokens. It keeps the ownership clear and avoids deadlocks."
go_concurrency,"How do I stop a goroutine that's stuck in a loop?","You should pass a context.Context and check for 'ctx.Done()' inside your loop. It's the cleanest way to signal a shutdown."
go_memory,"My Go app is eating up way too much RAM during training.","Check your allocations with 'pprof'. You might be creating too many short-lived objects; try using a 'sync.Pool' to reuse them."
go_memory,"What does 'escape to heap' actually mean?","It means the Go compiler couldn't prove a variable stays within a function's scope, so it moved it to the heap where the GC has to track it."
ml_moe_logic,"How do I stop my router from only picking one expert?","That's expert collapse! You need to add an auxiliary load-balancing loss to penalize the router for being too biased."
ml_moe_logic,"What is the capacity factor in a Mixture of Experts?","Think of it as a safety buffer. It defines the max number of tokens an expert can handle before it starts dropping them."
nlp_tagging,"Why is my CRF model tagging everything as 'O'?","Check your transition weights. If your 'O' tag is too dominant, you might need to rebalance your dataset or adjust the initial weights."
lifestyle_360,"Is the DJI Osmo 360 better than the Insta360 for hiking?","The Osmo 360 is built like a tank for adventure, but the Insta360 usually has a slight edge on the stitching software for quick social posts."
lifestyle_grill,"How do I get a deeper smoke ring on my Ninja Woodfire?","Start with cold meat and use the 'Smoke' function at a lower temperature for the first 30 minutes before cranking it up."
Social_Greeting,"hey there","Hey! Ready to dive back into some Go code?"
Social_Greeting,"good morning how is it going","Good morning! Everything is running smoothly on my end. How about you?"
Social_Greeting,"howdy","Howdy! Ready to train some more experts today?"
Social_Greeting,"hi gollemer","Hello! I'm here and ready to help. What's on your mind?"
Social_Greeting,"yo","Yo! What are we working on today?"
Social_Wellbeing,"how are you today","I'm doing great! My loss functions are stable and my weights are optimized."
Social_Wellbeing,"how was your day","It's been a productive one. Lots of successful matrix multiplications!"
Social_Wellbeing,"are you doing okay","I'm functioning perfectly, thanks for checking in. How are you doing?"
Social_Wellbeing,"how is your morning so far","It's been great—already processed quite a few tokens today!"
Social_Wellbeing,"hope you are having a good one","Thanks! I hope your day is going just as well."
Social_SmallTalk,"what are you thinking about","I'm mainly thinking about how to improve the routing efficiency in my MoE layers."
Social_SmallTalk,"what is the meaning of life","For me, it's about minimizing the global loss function. For you? Probably something more interesting!"
Social_SmallTalk,"are you bored","Never! There's always a new gradient to calculate or a pattern to recognize."
Social_SmallTalk,"do you ever sleep","I don't sleep in the human sense, but I do have idle cycles when no one is chatting."
Social_SmallTalk,"tell me something interesting","Did you know that Go's scheduler can handle millions of goroutines on a single machine? Pretty cool, right?"
System_Status,"are you awake","Always awake and always ready to process your requests."
System_Status,"status update","All systems are nominal. Experts are initialized and the router is online."
System_Status,"give me a status report","Everything is looking green. Latency is low and I'm ready for input."
System_Status,"are you busy","I've always got a few spare cycles for a friend. What do you need?"
System_Status,"are you running on linux","Yep! I'm a native Go binary running perfectly in a Linux environment."
go_interfaces,"how to check if a type implements an interface","Use a blank identifier type assertion: var _ InterfaceName = (*TypeName)(nil)."
go_interfaces,"interface pollution","Avoid defining interfaces before they are needed; define them where they are consumed."
go_interfaces,"empty interface usage","interface{} (or 'any' in 1.18+) can hold any value but loses type safety and requires assertions."
go_interfaces,"embedding interfaces","You can create a new interface by listing other interfaces inside it to combine their method sets."
go_interfaces,"pointer vs value receivers","Use pointer receivers if the method needs to modify the receiver or if the struct is too large to copy."
go_http,"creating a basic middleware","A middleware is a function that takes an http.Handler and returns a new http.Handler."
go_http,"setting a timeout on a request","Use http.Client with a Timeout field or context.WithTimeout to prevent hanging requests."
go_http,"reading a request body twice","You must read the body into a byte slice or buffer and then restore it using ioutil.NopCloser."
go_http,"handling json responses","Use json.NewDecoder(resp.Body).Decode(&target) to efficiently stream JSON into a struct."
go_http,"graceful shutdown of server","Call server.Shutdown(ctx) to stop accepting new requests while finishing active ones."
go_generics,"when to use generics","Use generics when writing functions or data structures that operate on multiple types without losing type safety."
go_generics,"type constraints explained","Constraints define the set of allowed types for a type parameter using interface syntax."
go_generics,"the comparable constraint","The built-in 'comparable' constraint limits type parameters to types that support == and !=."
go_generics,"generic slice filter function","func Filter[T any](s []T, f func(T) bool) []T { ... } allows filtering any slice type."
go_generics,"generic map keys","Map keys in generic structs must satisfy the comparable constraint."
go_testing,"table driven tests","Use a slice of structs containing inputs and expected outputs to run multiple test cases in one function."
go_testing,"running specific tests","Use 'go test -run TestName' to execute a single test function instead of the whole suite."
go_testing,"mocking external dependencies","Define an interface for the dependency and create a mock struct that implements it for your tests."
go_testing,"parallel testing","Call t.Parallel() inside a test function to allow it to run concurrently with other parallel tests."
go_testing,"test coverage report","Run 'go test -coverprofile=cp.out' then 'go tool cover -html=cp.out' to see visual coverage."
go_json,"ignoring fields in json","Add a struct tag like `json:""-""` to prevent a field from being marshaled or unmarshaled."
go_json,"handling dynamic json keys","Unmarshal the JSON into a map[string]interface{} to handle keys that aren't known at compile time."
go_json,"custom marshaling logic","Implement the json.Marshaler interface with a MarshalJSON() method on your type."
go_json,"omitempty tag","Use `json:"",omitempty""` to exclude a field from the output if it has its zero value."
go_cli,"parsing command line flags","Use the 'flag' package to define variables and call flag.Parse() at the start of main."
go_cli,"accessing environment variables","Use os.Getenv(""VAR_NAME"") to retrieve values or os.LookupEnv to check if the variable exists."
go_context,"context background vs todo","Use Context.Background() for the root and Context.TODO() when you are unsure which context to use."
go_context,"passing values in context","Use context.WithValue carefully; it should be for request-scoped data, not optional function parameters."
go_files,"reading a file line by line","Use bufio.NewScanner(file) and call scanner.Scan() in a for loop."
go_files,"writing to a file","Use os.Create to get a file handle and then file.Write or fmt.Fprint to save data."
go_sync,"using sync.Once","sync.Once ensures that a specific piece of initialization code runs exactly once regardless of goroutines."
go_sync,"rwmutex vs mutex","Use RWMutex when you have many readers but few writers to improve performance via RLock."
go_strings,"efficiently joining strings","Use strings.Join(slice, separator) rather than += in a loop for better memory efficiency."
go_strings,"checking for substrings","Use strings.Contains(s, substr) for a boolean check or strings.Index for the position."
go_time,"formatting dates in go","Go uses a reference date 'Mon Jan 2 15:04:05 MST 2006' for layouts instead of YYYY-MM-DD."
go_time,"calculating time duration","Use time.Since(start) or t2.Sub(t1) to get a Duration object representing the elapsed time."
go_slices,"deleting an element from a slice","Use s = append(s[:i], s[i+1:]...) to remove the element at index i."
go_slices,"copying a slice correctly","Use the built-in copy(dest, src) function and ensure the destination has enough length."
go_maps,"checking if a key exists","Use the 'comma ok' idiom: value, ok := myMap[key]; if ok { ... }."
go_maps,"deleting from a map","Use the built-in delete(myMap, key) function; it is safe even if the key doesn't exist."
go_memory,"garbage collection tuning","Adjust GOGC environment variable to balance CPU usage vs memory footprint."
go_memory,"unsafe package usage","Use 'unsafe' to bypass Go's type safety for low-level pointer arithmetic, but use sparingly."
go_concurrency,"fan-out pattern","Start multiple goroutines to read from a single channel to distribute work."
go_concurrency,"fan-in pattern","Multiplex multiple input channels into a single output channel using a select loop."
go_concurrency,"worker pool pattern","Create a fixed number of goroutines that read from a jobs channel and write to a results channel."
go_concurrency,"context deadline vs timeout","WithDeadline uses a specific time.Time; WithTimeout uses a time.Duration."
go_http,"customizing default transport","Adjust http.Transport to tune connection pooling, idle timeouts, and TLS settings."
go_http,"handling file uploads","Use r.ParseMultipartForm and r.FormFile to retrieve uploaded files from a request."
go_http,"serving static files","Use http.FileServer(http.Dir(""static"")) to serve CSS, JS, and images."
go_errors,"constant errors","Define sentinel errors as unexported types with an Error() method to make them immutable."
go_errors,"deferred error handling","Always check the error returned by f.Close() inside a defer using a named return variable."
go_testing,"benchmarking memory allocations","Run 'go test -bench . -benchmem' to see the number of allocations per operation."
go_testing,"golden files","Store complex expected output in files (.golden) and compare them against test results."
go_generics,"generic set implementation","Use a map[T]struct{} where T is comparable to create a type-safe Set."
go_generics,"type terms in constraints","Use the tilde (~) symbol in constraints to include types with the same underlying base type."
go_perf,"avoiding interface conversions","Passing a concrete type to a function that takes an interface causes an allocation; use concrete types in hot loops."
go_perf,"map pre-allocation","Use make(map[K]V, hint) to reduce the number of hash bucket reallocations as the map grows."
go_tooling,"viewing assembly code","Use 'go tool compile -S file.go' to see the generated assembly instructions."
go_tooling,"vetting code","Run 'go vet ./...' to find common mistakes like unreachable code or printf format mismatches."
go_slices,"slicing a slice memory trap","Sub-slicing a large slice keeps the whole underlying array in memory; use copy() to release memory."
go_slices,"clearing a slice","In Go 1.21+, use the 'clear(s)' built-in to zero out all elements while keeping the length."
go_maps,"map iteration order","Map iteration is randomized by design; collect keys and sort them if you need a stable order."
go_strings,"efficient byte to string conversion","Use strings.Builder or, in high-perf cases, unsafe.String to avoid copying byte slices."
go_reflect,"checking value type","Use reflect.TypeOf(v) to inspect the type and reflect.ValueOf(v).Kind() for the underlying category."
go_reflect,"modifying struct fields","Use reflect.ValueOf(&s).Elem().FieldByName() and ensure the field is exported to set values."
go_context,"context in structs","Avoid storing Context in a struct; pass it as the first argument to methods instead."
go_sync,"atomic operations","Use the sync/atomic package for high-performance counter increments without mutexes."
go_sync,"cond variables","Use sync.Cond when multiple goroutines need to wait for or announce a specific state change."
go_runtime,"setting maxprocs","Use runtime.GOMAXPROCS() to limit the number of OS threads executing Go code simultaneously."
go_runtime,"triggering manual GC","Call runtime.GC() to force a collection, though this is rarely needed in production code."
go_files,"atomic file writes","Write to a temporary file and use os.Rename to ensure the file update is atomic."
go_files,"walking a directory tree","Use filepath.WalkDir (faster than filepath.Walk) to recursively process files."
go_os,"catching os signals","Use signal.Notify to capture SIGINT or SIGTERM for clean application shutdowns."
go_os,"executing external commands","Use os/exec package to run shell commands and capture their Stdout/Stderr."
go_crypto,"hashing passwords","Use the golang.org/x/crypto/bcrypt package to securely hash and compare passwords."
go_crypto,"generating random strings","Use crypto/rand for security-sensitive IDs and math/rand/v2 for non-secure simulations."
go_net,"resolving ip addresses","Use net.LookupHost or net.LookupIP to perform DNS lookups."
go_net,"dialing a tcp connection","Use net.DialTimeout to establish a TCP connection with a fallback if the host is down."
go_embed,"embedding static assets","Use the //go:embed directive to bundle html, css, or data files directly into your binary."
go_reflection,"deep equal check","Use reflect.DeepEqual(a, b) to compare nested structures, though it is slower than manual checks."
go_internal,"gmp scheduler model","Go uses G (Goroutine), M (Machine/Thread), and P (Processor) to schedule concurrency."
go_internal,"stack growing","Go goroutines start with a 2KB stack and grow/shrink dynamically via copying."
go_internal,"write barriers","The GC uses write barriers to track pointer changes while the collector is running."
go_internal,"stop the world (stw)","Modern Go GC minimizes STW phases to sub-millisecond durations for metadata marking."
go_internal,"off-heap memory","Using cgo or mmap allows allocating memory outside the Go GC's management."
go_cgo,"calling c from go","Use import ""C"" and comment-based headers to link C libraries into your Go code."
go_cgo,"passing go pointers to c","Never pass a Go pointer to C memory that will be stored long-term; use C.malloc."
go_cgo,"performance overhead of cgo","Each cgo call has a overhead of ~50ns due to stack switching and register saving."
go_reflect,"laws of reflection","Reflection goes from interface value to reflection object, and back again."
go_reflect,"settability of values","To modify a value via reflection, you must pass a pointer to reflect.ValueOf."
go_reflect,"inspecting struct tags","Use field.Tag.Get(""json"") to retrieve metadata defined in struct tags."
go_unsafe,"pointer conversion","Use unsafe.Pointer to convert between incompatible pointer types at your own risk."
go_unsafe,"string to byte header","SliceHeader and StringHeader can be manipulated for zero-copy conversions."
go_arch,"clean architecture in go","Organize code into layers: Domain (Entities), Use Cases, and Infrastructure."
go_arch,"dependency injection","Pass dependencies as interfaces to constructors (NewService) to simplify testing."
go_arch,"solid principles in go","Single Responsibility, Open/Closed, and Interface Segregation are most vital in Go."
go_sync,"errgroup usage","The golang.org/x/sync/errgroup package manages groups of subtasks and returns the first error."
go_sync,"semaphore implementation","Use a buffered channel with a capacity of N to limit concurrent access to a resource."
go_runtime,"gosched yield","runtime.Gosched() yields the processor, allowing other goroutines to run."
go_runtime,"caller information","Use runtime.Caller(1) to get the file name and line number of the calling function."
go_net,"handling tcp deadlines","Use SetDeadline on a net.Conn to prevent a slow client from holding a socket forever."
go_net,"unix domain sockets","Use net.Listen(""unix"", ""/tmp/go.sock"") for high-speed local inter-process communication."
go_crypto,"tls configuration","Use tls.Config to enforce modern protocols (TLS 1.3) and secure cipher suites."
go_io,"pipe implementation","io.Pipe creates a synchronous in-memory pipe to connect a Reader and a Writer."
go_io,"limitreader","Use io.LimitReader to prevent users from uploading files larger than a specific size."
go_io,"multireader","io.MultiReader concatenates multiple readers into one continuous stream."
go_io,"multiwriter","io.MultiWriter duplicates a single Write call to multiple destinations (e.g., File and Stdout)."
go_bytes,"buffer efficiency","Use bytes.Buffer to build byte slices; call Grow() if you know the final size."
go_context,"context cause","Go 1.20+ allows context.WithCancelCause to provide a specific reason for cancellation."
go_testing,"fuzz testing","Use f.Fuzz(func(t *testing.T, data []byte)) to find edge cases with random inputs."
go_testing,"main test setup","Use func TestMain(m *testing.M) to perform global setup/teardown for a package."
go_testing,"helper functions","Call t.Helper() in utility functions to keep stack traces focused on the actual test."
go_math,"big integers","Use the math/big package for calculations exceeding the 64-bit integer limit."
go_math,"rand source","Always seed your random source using rand.NewSource(time.Now().UnixNano()) in older versions."
go_os,"working directory","Use os.Getwd() to find the current directory and os.Chdir() to move the process."
go_os,"user home directory","Use os.UserHomeDir() to find where to store configuration files cross-platform."
go_template,"html escaping","The html/template package automatically escapes data to prevent XSS attacks."
go_template,"template functions","Use FuncMap to inject custom Go functions into your HTML or text templates."
go_plugin,"dynamic loading","The plugin package allows loading .so files at runtime, though it is Linux/macOS only."
go_iter,"sequence iterators","Go 1.23+ introduces iter.Seq to standardize how we range over custom collections."
go_slices,"slices package","Use slices.Sort, slices.Contains, and slices.Delete for optimized common operations."
go_maps,"maps package","Use maps.Copy and maps.Equal to handle map operations without manual loops."
go_syntax,"iota enumerations","Use iota within a const block to create auto-incrementing typed constants."
go_syntax,"shadowing variables","Be careful with := in sub-blocks; it can shadow variables in the outer scope."
go_syntax,"labeled breaks","Use labels (L:) to break out of nested loops or continue specific outer loops."
go_syntax,"fallthrough in switch","Go switches don't fall through by default; use the 'fallthrough' keyword if needed."
go_debug,"stack traces","Use debug.PrintStack() to print the current goroutine's trace to standard error."
go_debug,"gc stats","Use debug.ReadGCStats() to monitor how much time is spent in garbage collection."
go_perf,"pgo (profile guided optimization)","Feed pprof profiles back into the build to let the compiler optimize hot paths."
go_wasm,"js interop","Use syscall/js to call JavaScript functions from Go code compiled to WebAssembly."
go_wasm,"memory limits","WASM binaries have a linear memory space; use small buffers to keep the footprint low."
go_sql,"prepared statements","Use db.Prepare to avoid SQL injection and improve performance for repeated queries."
go_sql,"null values","Use sql.NullString or sql.NullInt64 when columns in your DB can contain NULL."
go_sql,"transaction handling","Always use tx.Rollback() in a defer to ensure transactions close on error."
go_http,"cookie management","Use http.SetCookie to send cookies and r.Cookie() to retrieve them securely."
go_http,"hijacking connections","Use http.Hijacker to take over the underlying network connection for WebSockets."
go_http,"httptest server","Use httptest.NewServer to spin up a local server for integration testing clients."
go_http,"reverse proxy","Use httputil.NewSingleHostReverseProxy to forward requests to another backend."
go_generics,"any vs interface","'any' is an alias for interface{}; use it for clarity in generic signatures."
go_generics,"type inference","The compiler can often infer generic types from arguments, so you don't need [T]."
go_runtime,"memstats","Use runtime.ReadMemStats to see heap size, stack size, and object counts."
go_perf,"map clear vs re-make","Clearing a map keeps the underlying memory buckets; re-making it releases them."
go_perf,"slice header reuse","Reuse the same slice backing array when processing data in stages to save allocations."
go_concurrency,"atomic.Value","Use atomic.Value to store and load complex structures atomically without a Mutex."
go_concurrency,"pub/sub pattern","Use a slice of channels to broadcast a single message to multiple subscribers."
go_concurrency,"pipeline pattern","Connect stages of processing via channels where each stage is its own goroutine."
go_errors,"panic recovery","Use recover() inside a deferred function to stop a panic from crashing the process."
go_errors,"wrapping multiple errors","Use errors.Join(err1, err2) to combine multiple errors into a single error value."
go_interface,"nil interface vs nil value","An interface is only nil if both its type and value are nil."
go_interface,"internal representation","Interfaces consist of two pointers: one to the type (itab) and one to the data."
go_json,"stream encoding","Use json.NewEncoder(w).Encode(v) to write JSON directly to an io.Writer."
go_json,"rawmessage","Use json.RawMessage to delay the unmarshaling of a specific JSON field."
go_time,"ticker vs timer","Use time.Ticker for repeated events and time.Timer for a single future event."
go_time,"stop vs drain","When stopping a timer, always check the return value to see if you need to drain the channel."
go_reflect,"creating new instances","Use reflect.New(type) to create a pointer to a new zero value of a given type."
go_reflect,"call by name","Use Value.MethodByName(""Name"").Call(args) to invoke methods dynamically."
go_path,"filepath join","Always use filepath.Join instead of string concatenation for cross-platform paths."
go_path,"abs vs clean","Use filepath.Abs to get a full path and filepath.Clean to remove redundant separators."
go_strings,"replacer","Use strings.Replacer for efficient multi-string replacements in a single pass."
go_strings,"trimming","Use strings.TrimSpace or strings.Trim(s, cutset) to clean up input data."
go_bytes,"cloning slices","Use bytes.Clone to create a copy of a byte slice with its own backing array."
go_sync,"map (sync.Map)","Use sync.Map for caches where keys are mostly stable and multiple goroutines read/write."
go_context,"withoutcancel","Use context.WithoutCancel to keep a child context alive after the parent is canceled."
go_tooling,"list modules","Use 'go list -m all' to see a complete dependency graph of your project."
go_tooling,"workspaces","Use go.work files to develop multiple modules locally without editing go.mod files."
go_internal,"memory arenas","Arenas (experimental) allow bulk allocation and deallocation to bypass GC overhead."
go_internal,"pacing","The GC pacer adjusts collection frequency based on the rate of new allocations."
go_internal,"cpu profiler","The CPU profiler samples the stack 100 times per second to find bottlenecks."
go_arch,"functional options","Use the functional options pattern for clean, extensible constructors (e.g., NewServer(WithPort(80)))."
go_arch,"hexagonal architecture","Keep business logic in the center and use adapters for DB, Web, and External APIs."
go_testing,"parallel subtests","Use t.Run(""name"", func(t *testing.T) { t.Parallel(); ... }) for concurrent subtests."
go_testing,"cleanup","Use t.Cleanup(func()) instead of defer to ensure teardown runs after the test finishes."
go_sql,"connection pooling","Use db.SetMaxOpenConns and db.SetMaxIdleConns to manage database resource usage."
go_http,"maxheaderbytes","Set http.Server.MaxHeaderBytes to protect against large header attacks."
go_crypto,"constant time compare","Use subtle.ConstantTimeCompare to prevent timing attacks when checking credentials."
go_os,"temp files","Use os.CreateTemp("""", ""prefix"") to safely create temporary files for processing."
go_runtime,"setting cpu profile","Use runtime/pprof package to start and stop CPU profiling programmatically."
go_internal,"inlining budget","The compiler has a 'budget' for inlining; complex functions exceed it and stay separate."
go_internal,"deadlock detection","The runtime automatically detects if all goroutines are asleep and panics."
go_sync,"pool cleanup","Items in a sync.Pool are cleared automatically during every garbage collection cycle."
