how are glacier caves formed 	A partly submerged glacier cave on Perito Moreno Glacier
how big is the purdue greek system	In the mid20th century  Purdue s aviation program expanded to encompass advanced spaceflight technology giving rise to Purdue s nickname  Cradle of Astronauts
how big is the purdue greek system	Twentythree Purdue graduates have gone on to become astronauts  including Gus Grissom  one of the original Mercury Seven astronauts   Neil Armstrong  the first person to walk on the moon   and Eugene Cernan  the most recent person to walk on the moon 
how big do sebaceous cysts get	A sebaceous cyst   is a term that loosely refers to either epidermoid cysts  also known as epidermal cysts  L720  or pilar cysts  also known as trichilemmal cysts  L721 
how big do sebaceous cysts get	Because an epidermoid cyst originates in the epidermis and a pilar cyst originates from hair follicles  by definition  neither type of cyst is strictly a sebaceous cyst
how big do sebaceous cysts get	The name is regarded as a misnomer as the fatty  white  semisolid material in both of these cyst entities is not sebum  but keratin
how big do sebaceous cysts get	Furthermore  under the microscope neither entity contains sebaceous glands
how big do sebaceous cysts get	In practice  however  the terms are often used interchangeably
how big do sebaceous cysts get	 True  sebaceous cysts are relatively rare and are known as steatocystomas or  if multiple  as steatocystoma multiplex
how are pointe shoes made	Modern pointe shoes
how are pointe shoes made	The edge of the toe pad  which is inserted between the foot and toe box for cushioning  can be seen on the right foot
how are pointe shoes made	A pointe shoe is a type of shoe worn by ballet dancers when performing pointe work
how are pointe shoes made	Pointe shoes developed from the desire for dancers to appear weightless and sylph like and have evolved to enable dancers to dance en pointe  on the tips of their toes  for extended periods of time
how are pointe shoes made	They are normally worn by female dancers  though male dancers may wear them for unorthodox roles such as the ugly stepsisters in Cinderella  Bottom in A Midsummer Night s Dream  or men performing as women in dance companies such as Les Ballets Trockadero and Grandiva
how are pointe shoes made	They are manufactured in a variety of colors  most commonly in shades of light pink
how much is 1 tablespoon of water	This tablespoon has a capacity of about 15 mL 
how much is 1 tablespoon of water	Measuring Spoons
how much is 1 tablespoon of water	In the US and parts of Canada  a tablespoon is the largest type of spoon used for eating from a bowl
how much is 1 tablespoon of water	In the UK  Europe and most Commonwealth countries  a tablespoon is a type of large spoon usually used for serving
how much is 1 tablespoon of water	In countries where a tablespoon is a serving spoon  the nearest equivalent to the US tablespoon is either the dessert spoon or the soup spoon
how much is 1 tablespoon of water	A tablespoonful  nominally the capacity of one tablespoon  is commonly used as a measure of volume in cooking
how much is 1 tablespoon of water	It is abbreviated as T  tb  tbs  tbsp  tblsp  or tblspn
how much is 1 tablespoon of water	The capacity of ordinary tablespoons is not regulated by law and is subject to considerable variation
how much is 1 tablespoon of water	In the USA one tablespoon  measurement unit  is approximately 15 mL  the capacity of an actual tablespoon  dining utensil  ranges from 7 mL to 14 mL 
how much is 1 tablespoon of water	In Australia one tablespoon  measurement unit  is 20 mL 
how much are the harry potter movies worth	Harry Potter is a series of seven fantasy novels written by the British author J K Rowling
how much are the harry potter movies worth	The books chronicle the adventures of a wizard  Harry Potter  and his friends Ronald Weasley and Hermione Granger  all of whom are students at Hogwarts School of Witchcraft and Wizardry
how much are the harry potter movies worth	The main story arc concerns Harry s quest to overcome the Dark wizard Lord Voldemort  whose aims are to become immortal  conquer the wizarding world  subjugate nonmagical people  and destroy all those who stand in his way  especially Harry Potter
how much are the harry potter movies worth	Since the release of the first novel Harry Potter and the Philosopher s Stone on 30 June 1997  the books have gained immense popularity  critical acclaim and commercial success worldwide
how much are the harry potter movies worth	The series has also had some share of criticism  including concern for the increasingly dark tone
how much are the harry potter movies worth	 the book series has sold about 450 million copies  making it the bestselling book series in history  and has been translated into 67 languages
how much are the harry potter movies worth	The last four books consecutively set records as the fastestselling books in history
how much are the harry potter movies worth	A series of many genres  including fantasy and coming of age  with elements of mystery  thriller  adventure  and romance   it has many cultural meanings and references
how much are the harry potter movies worth	According to Rowling  the main theme is death
how much are the harry potter movies worth	There are also many other themes in the series  such as prejudice and corruption
how much are the harry potter movies worth	The initial major publishers of the books were Bloomsbury in the United Kingdom and Scholastic Press in the United States
how much are the harry potter movies worth	The books have since been published by many publishers worldwide
how much are the harry potter movies worth	The books  with the seventh book split into two parts  have been made into an eightpart film series by Warner Bros Pictures  the highestgrossing film series of all time
how much are the harry potter movies worth	The series also originated much tiein merchandise  making the Harry Potter brand worth in excess of  15 billion 
how much are the harry potter movies worth	Also due to the success of the books and films  Harry Potter has been used for a theme park  The Wizarding World of Harry Potter in Universal Parks  Resorts s Islands of Adventure
how a rocket engine works	RS68 being tested at NASA s Stennis Space Center
how a rocket engine works	The nearly transparent exhaust is due to this engine s exhaust being mostly superheated steam  water vapor from its propellants  hydrogen and oxygen 
how a rocket engine works	Viking 5C rocket engine
how a rocket engine works	A rocket engine  or simply  rocket   is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet 
how a rocket engine works	Rocket engines are reaction engines and obtain thrust in accordance with Newton s third law
how a rocket engine works	Since they need no external material to form their jet  rocket engines can be used for spacecraft propulsion as well as terrestrial uses  such as missiles
how a rocket engine works	Most rocket engines are internal combustion engines  although noncombusting forms also exist
how a rocket engine works	Rocket engines as a group have the highest exhaust velocities  are by far the lightest  but are the least propellant efficient of all types of jet engines
how old was britney spears when she recorded hit me baby one more time	  Baby One More Time  is a song by American recording artist Britney Spears
how old was britney spears when she recorded hit me baby one more time	It served as Spears s debut single and title track from her debut studio album   Baby One More Time  1999 
how old was britney spears when she recorded hit me baby one more time	Written by Max Martin and produced by Martin and Rami    Baby One More Time  was released on September 30  1998  by Jive Records
how old was britney spears when she recorded hit me baby one more time	After recording and sending a demo tape with an unused song from Toni Braxton  Spears signed a multialbum deal with Jive
how old was britney spears when she recorded hit me baby one more time	  Baby One More Time  is a teen pop and dancepop song that refers to a girl who regrets breaking up with her boyfriend
how old was britney spears when she recorded hit me baby one more time	The song received generally favorable reviews from critics  who praised its composition
how old was britney spears when she recorded hit me baby one more time	  Baby One More Time  attained global success  reaching number one in every country it charted
how old was britney spears when she recorded hit me baby one more time	It also received numerous certifications around the world  and is one of the bestselling singles of all time  with over 10 million copies sold
how old was britney spears when she recorded hit me baby one more time	An accompanying music video  directed by Nigel Dick  portrays Spears as a student from a Catholic high school  who starts to daydream that she is singing and dancing around the school  while watching her love interest from afar
how old was britney spears when she recorded hit me baby one more time	The music video was later referenced in the music video of  If U Seek Amy   2008   where Spears s fictional daughter is dressed with a similar schoolgirl outfit while wearing pink ribbons in her hair
how old was britney spears when she recorded hit me baby one more time	In 2010  the music video for   Baby One More Time  was voted the third most influential video in the history of pop music  in a poll held by Jam 
how old was britney spears when she recorded hit me baby one more time	Spears has performed   Baby One More Time  in a number of live appearances and in all of her concert tours
how old was britney spears when she recorded hit me baby one more time	It was the encore of the  Baby One More Time Tour  1999  and Dream Within a Dream Tour  2001   Spears also performed remixed versions of the song during the Oops  
how old was britney spears when she recorded hit me baby one more time	I Did It Again World Tour  2000   The Onyx Hotel Tour  2004   The MM s Tour  2007   The Circus Starring Britney Spears  2009   and the Femme Fatale Tour  2011 
how old was britney spears when she recorded hit me baby one more time	  Baby One More Time  was nominated for a Grammy Award for Best Female Pop Vocal Performance  and has been included in lists by Blender  Rolling Stone and VH1
how old was britney spears when she recorded hit me baby one more time	It has been noted for redefining the sound of late 1990s music
how old was britney spears when she recorded hit me baby one more time	Spears has named   Baby One More Time  as one of her favorite songs from her career
how old was britney spears when she recorded hit me baby one more time	It was also the final song to be played on the BBC s music programme Top of the Pops
how are cholera and typhus transmitted and prevented	Cholera is an infection in the small intestine caused by the bacterium Vibrio cholerae
how are cholera and typhus transmitted and prevented	The main symptoms are watery diarrhea and vomiting
how are cholera and typhus transmitted and prevented	Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces  waste product  of an infected person  including one with no apparent symptoms 
how are cholera and typhus transmitted and prevented	The severity of the diarrhea and vomiting can lead to rapid dehydration and electrolyte imbalance  and death in some cases
how are cholera and typhus transmitted and prevented	The primary treatment is oral rehydration therapy  typically with oral rehydration solution  to replace water and electrolytes
how are cholera and typhus transmitted and prevented	If this is not tolerated or does not provide improvement fast enough  intravenous fluids can also be used
how are cholera and typhus transmitted and prevented	Antibacterial drugs are beneficial in those with severe disease to shorten its duration and severity
how are cholera and typhus transmitted and prevented	Worldwide  it affects 35 million people and causes 100000130000 deaths a year
how are cholera and typhus transmitted and prevented	Cholera was one of the earliest infections to be studied by epidemiological methods
how old is sybil vane in the picture of dorian gray	The Picture of Dorian Gray is the only published novel by Oscar Wilde  appearing as the lead story in Lippincott s Monthly Magazine on 20 June 1890  printed as the July 1890 issue of this magazine
how old is sybil vane in the picture of dorian gray	The magazine s editors feared the story was indecent as submitted  so they censored roughly 500 words  without Wilde s knowledge  before publication
how old is sybil vane in the picture of dorian gray	But even with that  the story was still greeted with outrage by British reviewers  some of whom suggested that Wilde should be prosecuted on moral grounds  leading Wilde to defend the novel aggressively in letters to the British press
how old is sybil vane in the picture of dorian gray	Wilde later revised the story for book publication  making substantial alterations  deleting controversial passages  adding new chapters and including an aphoristic Preface which has since become famous in its own right
how old is sybil vane in the picture of dorian gray	The amended version was published by Ward  Lock and Company in April 1891
how old is sybil vane in the picture of dorian gray	Some scholars believe that Wilde would today have wanted us to read the version he originally submitted to Lippincott s
how old is sybil vane in the picture of dorian gray	The novel tells of a young man named Dorian Gray  the subject of a painting by artist Basil Hallward
how old is sybil vane in the picture of dorian gray	Basil is impressed by Dorian s beauty and becomes infatuated with him  believing his beauty is responsible for a new mode in his art
how old is sybil vane in the picture of dorian gray	Dorian meets Lord Henry Wotton  a friend of Basil s  and becomes enthralled by Lord Henry s world view
how old is sybil vane in the picture of dorian gray	Espousing a new hedonism  Lord Henry suggests the only things worth pursuing in life are beauty and fulfilment of the senses
how old is sybil vane in the picture of dorian gray	Realizing that one day his beauty will fade  Dorian  whimsically  expresses a desire to sell his soul to ensure the portrait Basil has painted would age rather than he
how old is sybil vane in the picture of dorian gray	Dorian s wish is fulfilled  and when he subsequently pursues a life of debauchery  the portrait serves as a reminder of the effect each act has upon his soul  with each sin displayed as a disfigurement of his form  or through a sign of aging
how old is sybil vane in the picture of dorian gray	The Picture of Dorian Gray is considered a work of classic Gothic fiction with a strong Faustian theme
how old is zsa zsa gabor s daughter	Sri Gbor  born 6 February 1917   known as Zsa Zsa Gabor    is a Hungarian born American actress who acted in supporting roles in movies  on Broadway  and occasionally on television
how old is zsa zsa gabor s daughter	Gabor was also a socialite
how old is zsa zsa gabor s daughter	She began her stage career in Vienna at age 15  and was crowned Miss Hungary in 1936
how old is zsa zsa gabor s daughter	She emigrated to the United States in 1941 and became a soughtafter actress with  European flair and style   with a personality that  exuded charm and grace 
how old is zsa zsa gabor s daughter	Her first movie role was as supporting actress in Lovely to Look At
how old is zsa zsa gabor s daughter	She later acted in We re Not Married 
how old is zsa zsa gabor s daughter	and played one of her few leading roles in Moulin Rouge  1952   directed by John Huston  who described her as a  creditable  actress
how old is zsa zsa gabor s daughter	Besides her film and television appearances  she is best known for having nine husbands  including hotel magnate Conrad Hilton and actor George Sanders
how old is zsa zsa gabor s daughter	She once stated   Men have always liked me and I have always liked men
how old is zsa zsa gabor s daughter	But I like a mannish man  a man who knows how to talk to and treat a woman  not just a man with muscles  
how bruce lee died	Bruce Lee  traditional    born Lee Junfan  27 November 1940  20 July 1973  was a Chinese American martial artist  actor  martial arts instructor  philosopher  and filmmaker
how bruce lee died	The founder of Jeet Kune Do  Lee was the son of Cantonese opera star Lee HoiChuen
how bruce lee died	He is widely considered by commentators  critics  media and other martial artists to be one of the most influential martial artists of all time  and a pop culture icon of the 20th century
how bruce lee died	He is often credited with helping to change the way Asians were presented in American films
how bruce lee died	Lee was born in Chinatown  San Francisco on 27 November 1940 to parents from Hong Kong and was raised in Kowloon with his family until his late teens
how bruce lee died	He was introduced to the film industry by his father and appeared in several films as a child actor
how bruce lee died	Lee moved to the United States at the age of 18 to receive his higher education  and it was during this time that he began teaching martial arts
how bruce lee died	His Hong Kong and Hollywood produced films elevated the traditional Hong Kong martial arts film to a new level of popularity and acclaim  sparking a surge of interest in Chinese martial arts in the West in the 1970s
how bruce lee died	The direction and tone of his films changed and influenced martial arts and martial arts films in Hong Kong and the rest of the world
how bruce lee died	He is noted for his roles in five featurelength films  Lo Wei s The Big Boss  1971  and Fist of Fury  1972   Way of the Dragon  1972   directed and written by Lee  Warner Brothers  Enter the Dragon  1973  and The Game of Death  1978   both directed by Robert Clouse
how bruce lee died	Lee became an iconic figure known throughout the world  particularly among the Chinese  as he portrayed Chinese nationalism in his films
how bruce lee died	He initially trained in Wing Chun  but later rejected welldefined martial art styles  favouring instead the use of techniques from various sources  in the spirit of his personal martial arts philosophy  which he dubbed Jeet Kune Do  The Way of the Intercepting Fist 
how bruce lee died	Lee held dual citizenship of Hong Kong and the United States
how bruce lee died	He died in Kowloon Tong on 20 July 1973 at age 32
how active can one be with copd	Chronic obstructive pulmonary disease  COPD   also known as chronic obstructive lung disease  COLD   chronic obstructive airway disease  COAD   chronic airflow limitation  CAL  and chronic obstructive respiratory disease  CORD   is the occurrence of chronic bronchitis or emphysema  a pair of commonly coexisting diseases of the lungs in which the airways narrow over time
how active can one be with copd	This limits airflow to and from the lungs  causing shortness of breath  dyspnea 
how active can one be with copd	In clinical practice  COPD is defined by its characteristically low airflow on lung function tests
how active can one be with copd	In contrast to asthma  this limitation is poorly reversible and usually gets progressively worse over time
how active can one be with copd	COPD is caused by noxious particles or gas  most commonly from tobacco smoking  which triggers an abnormal inflammatory response in the lung
how active can one be with copd	The diagnosis of COPD requires lung function tests
how active can one be with copd	Important management strategies are smoking cessation  vaccinations  rehabilitation  and drug therapy  often using inhalers 
how active can one be with copd	Some patients go on to require longterm oxygen therapy or lung transplantation
how active can one be with copd	Worldwide  COPD ranked as the sixth leading cause of death in 1990
how active can one be with copd	It is projected to become the fourth leading cause of death worldwide by 2030  due to an increase in smoking rates and demographic changes in many countries
how active can one be with copd	COPD is the third leading cause of death in the US  and the economic burden of COPD in the US in 2007 was  426 billion in health care costs and lost productivity
how did anne frank die	Annelies  Anne  Marie Frank      12 June 1929early March 1945  is one of the most discussed Jewish victims of the Holocaust
how did anne frank die	Her diary has been the basis for several plays and films
how did anne frank die	Born in the city of Frankfurt am Main in Weimar Germany  she lived most of her life in or near Amsterdam  in the Netherlands
how did anne frank die	Born a German national  Frank lost her citizenship in 1941
how did anne frank die	She gained international fame posthumously after her diary was published
how did anne frank die	It documents her experiences hiding during the German occupation of the Netherlands in World War II
how did anne frank die	The Frank family moved from Germany to Amsterdam in 1933  the year the Nazis gained control over Germany
how did anne frank die	By the beginning of 1940  they were trapped in Amsterdam by the Nazi occupation of the Netherlands
how did anne frank die	As persecutions of the Jewish population increased in July 1942  the family went into hiding in the hidden rooms of Anne s father  Otto Frank s  office building
how did anne frank die	After two years  the group was betrayed and transported to concentration camps
how did anne frank die	Anne Frank and her sister  Margot  were eventually transferred to the BergenBelsen concentration camp  where they died of typhus in March 1945 
how did anne frank die	Otto Frank  the only survivor of the family  returned to Amsterdam after the war to find that Anne s diary had been saved  and his efforts led to its publication in 1947
how did anne frank die	It was translated from its original Dutch and first published in English in 1952 as The Diary of a Young Girl
how did anne frank die	It has since been translated into many languages
how did anne frank die	The diary  which was given to Anne on her 13th birthday  chronicles her life from 12 June 1942 until 1 August 1944
how old is kurt cobain s daughter	Kurt s signature
how old is kurt cobain s daughter	Kurt Donald Cobain  February 20  1967  April 5  1994  was an American musician and artist  best known as the lead singer  guitarist and primary songwriter of the grunge band Nirvana
how old is kurt cobain s daughter	Cobain formed Nirvana with Krist Novoselic in Aberdeen  Washington in 1985 and established it as part of the Seattle music scene  having its debut album Bleach released on the independent record label Sub Pop in 1989
how old is kurt cobain s daughter	After signing with major label DGC Records  the band found breakthrough success with  Smells Like Teen Spirit  from its second album Nevermind  1991 
how old is kurt cobain s daughter	Following the success of Nevermind  Nirvana was labeled  the flagship band  of Generation X  and Cobain hailed as  the spokesman of a generation 
how old is kurt cobain s daughter	Cobain  however  was often uncomfortable and frustrated  believing his message and artistic vision to have been misinterpreted by the public  with his personal issues often subject to media attention
how old is kurt cobain s daughter	He challenged Nirvana s audience with its final studio album In Utero  1993 
how old is kurt cobain s daughter	During the last years of his life  Cobain struggled with heroin addiction  illness and depression
how old is kurt cobain s daughter	He also had difficulty coping with his fame and public image  and the professional and lifelong personal pressures surrounding himself and his wife  musician Courtney Love
how old is kurt cobain s daughter	On April 8  1994  Cobain was found dead at his home in Seattle  the victim of what was officially ruled a suicide by a selfinflicted shotgun wound to the head
how old is kurt cobain s daughter	The circumstances of his death at age 27 have become a topic of public fascination and debate
how old is kurt cobain s daughter	Since their debut  Nirvana  with Cobain as a songwriter  has sold over 25 million albums in the US  and over 50 million worldwide
how are aircraft radial engines built	Radial engine timing and cam mechanism
how are aircraft radial engines built	Click for full resolution animation
how are aircraft radial engines built	Radial engine of a biplane
how are aircraft radial engines built	Master rod  upright   slaves and balances from a tworow  fourteencylinder Pratt  Whitney Twin Wasp
how are aircraft radial engines built	The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel 
how are aircraft radial engines built	It resembles a stylized star when viewed from the front  and is called a  star engine   German Sternmotor  in some languages
how are aircraft radial engines built	The radial configuration was very commonly used in aircraft engines before turbine engines became predominant
how old were golden girls at time of show	The Golden Girls is an American sitcom  created by Susan Harris  that originally aired on NBC from September 13  1985  to May 9  1992
how old were golden girls at time of show	Starring Bea Arthur  Betty White  Rue McClanahan and Estelle Getty  the show centers on four older women sharing a home in Miami  Florida
how old were golden girls at time of show	It was produced by WittThomasHarris Productions  in association with Touchstone Television  and Paul Junger Witt  Tony Thomas  and Harris served as the original executive producers
how old were golden girls at time of show	The Golden Girls received critical acclaim throughout most of its run and won several awards  including the Primetime Emmy Award for Outstanding Comedy Series twice
how old were golden girls at time of show	It also won three Golden Globe Awards for Best Television Series  Musical or Comedy
how old were golden girls at time of show	All four stars each received an Emmy Award throughout the series  run and had multiple nominations
how old were golden girls at time of show	The series also ranked among the top ten highestrated programs for six out of its seven seasons
how deep can be drill for deep underwater	Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet 
how deep can be drill for deep underwater	By this definition  there are approximately 600 deepwater wells in the Gulf of Mexico
how deep can be drill for deep underwater	It has been economically infeasible for many years  but with rising oil prices  more companies are investing in this area
how deep can be drill for deep underwater	Major companies working in this sector include Diamond Offshore  TransOcean  and Baker Hughes
how deep can be drill for deep underwater	There are basically two kinds of mobile deepwater drilling rigs  semisubmersible drilling rigs and drillships
how deep can be drill for deep underwater	Drilling can also be performed from a fixedposition installation such as a floating spar  platform  or tensionleg platform
how deep can be drill for deep underwater	Recent industry analysis has estimated that the total expenditure in the global deepwater infrastructure market will reach  145bn in 2011
how deep can be drill for deep underwater	Not all oil is accessible on land or in shallow water
how deep can be drill for deep underwater	You can find some oil deposits buried deep under the ocean floor  Using sonic equipment  oil companies determine the drilling sites most likely to produce oil
how deep can be drill for deep underwater	Then they use a mobile offshore drilling unit  MODU  to dig the initial well
how deep can be drill for deep underwater	Some units are converted into production rigs  meaning they switch from drilling for oil to capturing oil once it s found
how deep can be drill for deep underwater	Most of the time  the oil company will replace the MODU with a more permanent oil production rig to capture oil  The MODU s job is to drill down into the ocean s floor to find oil deposits
how deep can be drill for deep underwater	The part of the drill that extends below the deck and through the water is called the riser
how deep can be drill for deep underwater	The riser allows for drilling fluids to move between the floor and the rig
how deep can be drill for deep underwater	Engineers lower a drill string  a series of pipes designed to drill down to the oil deposit  through the riser
how deep can be drill for deep underwater	The expansion of deepwater drilling is happening despite accidents in offshore fields  
how deep can be drill for deep underwater	In 2010 a large explosion occurred killing 11 workers and spilling millions of gallons of oil into the Gulf of Mexico while a BP oil rig was drilling in deep waters
how deep can be drill for deep underwater	  Despite the risks  the deepwater drilling trend is spreading in the Mediterranean and off the coast of East Africa after a string of huge discoveries of natural gas
how deep can be drill for deep underwater	The reason for the resumption of such drilling  analyst say  is continuing high demand for energy worldwide
how deep can be drill for deep underwater	America needs the oil so it is almost necessary to face the high risks that come with deepwater drilling in order for Americans to continue to carry on their everyday lives
how deep can be drill for deep underwater	The Energy Department recently projected that gulf oil production would expand from its 2011 level of 13 million barrels a day  still nearly a quarter of total domestic production  to 2 million barrels a day by 2020
how deep can be drill for deep underwater	Deepwater drilling affects the environment in both negative and positive ways
how deep can be drill for deep underwater	Although Deepwater drilling rarely causes oil spills it is still a hazardous possible outcome
how deep can be drill for deep underwater	Oil spills result in oil sinking to the bottom of the ocean smothering plant life leaving fish without food and shelter to survive
how deep can be drill for deep underwater	On the other hand deepwater drilling effects the environment in a positive ways too
how deep can be drill for deep underwater	In time once the deepwater oil well is not in use anymore plants will grow on and around the well making a cave or cavern like shelter ideal for animals to thrive in
how deep can be drill for deep underwater	Deepwater drilling also lets us see the depths of the ocean floor that are hardly ever seen
how deep can be drill for deep underwater	Cameras on rovers at the bottom of the wells record footage and take photos of rare fish that are in there natural habitat  giving scientist a look at animals they rarely seen  Chevron Corporation   
