type,prompt,response,code_after
code_update,"add channel receive statement",,"<-ch"
code_update,"add deferred close body",,"defer file.Close()"
code_update,"add defer unlock statement",,"defer mu.Unlock()"
code_update,"add panic call",,"panic(""unexpected state"")"
code_update,"add go routine invocation",,"go func() {"
code_update,"add select block start",,"select {"
code_update,"add range loop over slice",,"for _, item := range items {"
code_update,"add infinite for loop",,"for {"
code_update,"add standard for loop header",,"for i := 0; i < n; i++ {"
code_update,"add while-style for loop",,"for condition {"
code_update,"add type assertion check",,"v, ok := val.(string)"
code_update,"add short variable declaration integer",,"x := 0"
code_update,"add short variable declaration string",,"name := """""
code_update,"add short variable declaration slice",,"items := []string{}"
code_update,"add short variable declaration map",,"m := make(map[string]int)"
code_update,"add error check against nil",,"if err != nil {"
code_update,"add nil check for pointer",,"if ptr == nil {"
code_update,"add check for empty string",,"if str == """" {"
code_update,"add check for zero length",,"if len(items) == 0 {"
code_update,"add check for positive number",,"if count > 0 {"
code_update,"add struct tag for json json omit empty",,"`json:""name,omitempty""`"
code_update,"add struct tag for json ID",,"`json:""id""`"
code_update,"add print statement with println",,"fmt.Println(""Hello"")"
code_update,"add formatted print statement",,"fmt.Printf(""%v\n"", val)"
code_update,"add log error statement",,"log.Printf(""error: %v"", err)"
code_update,"add log fatal statement",,"log.Fatalf(""fatal error: %v"", err)"
code_update,"add return custom error",,"return errors.New(""something went wrong"")"
code_update,"add fmt error wrapping",,"return fmt.Errorf(""failed to process: %w"", err)"
code_update,"add context background call",,"ctx := context.Background()"
code_update,"add context with timeout call",,"ctx, cancel := context.WithTimeout(context.Background(), 5*time.Second)"
code_update,"add cancel deferred invocation",,"defer cancel()"
code_update,"add append to slice",,"list = append(list, item)"
code_update,"add make byte slice",,"buf := make([]byte, 1024)"
code_update,"add channel creation",,"ch := make(chan int)"
code_update,"add buffered channel creation",,"ch := make(chan string, 10)"
code_update,"add map deletion key",,"delete(m, key)"
code_update,"add sync mutex lock",,"mu.Lock()"
code_update,"add sync mutex unlock",,"mu.Unlock()"
code_update,"add waitgroup add statement",,"wg.Add(1)"
code_update,"add waitgroup done statement",,"wg.Done()"
code_update,"add waitgroup wait statement",,"wg.Wait()"
code_update,"add http handlefunc block",,"http.HandleFunc(""/"", func(w http.ResponseWriter, r *http.Request) {"
code_update,"add http status ok write",,"w.WriteHeader(http.StatusOK)"
code_update,"add http status not found write",,"w.WriteHeader(http.StatusNotFound)"
code_update,"add http json response content type header",,"w.Header().Set(""Content-Type"", ""application/json"")"
code_update,"add json new encoder encode call",,"json.NewEncoder(w).Encode(resp)"
code_update,"add json marshal call",,"data, err := json.Marshal(v)"
code_update,"add json unmarshal call",,"err := json.Unmarshal(data, &target)"
code_update,"add break statement",,"break"
code_update,"add continue statement",,"continue"
code_update,"add fallthrough statement",,"fallthrough"
code_update,"add comment for TODO",,"// TODO: implement this function"
code_update,"add comment for FIXME",,"// FIXME: handle potential race condition"
code_update,"add nolint directive comment",,"//nolint:gocyclo"
code_update,"add go embed directive",,"//go:embed static/*"
code_update,"add go build tag header",,"//go:build integration"
code_update,"add const declaration block",,"const ("
code_update,"add var declaration block",,"var ("
code_update,"add iota enum definition",,"const (
	A = iota
	B
)"
code_update,"add string join function call",,"result := strings.Join(slice, "","")"
code_update,"add string split function call",,"parts := strings.Split(str, "","")"
code_update,"add string contains check",,"if strings.Contains(s, ""substr"") {"
code_update,"add string has prefix check",,"if strings.HasPrefix(s, ""prefix"") {"
code_update,"add string has suffix check",,"if strings.HasSuffix(s, ""suffix"") {"
code_update,"add string trim space call",,"cleaned := strings.TrimSpace(raw)"
code_update,"add os exit non zero call",,"os.Exit(1)"
code_update,"add os getenv call",,"val := os.Getenv(""API_KEY"")"
code_update,"add os lookupenv call",,"val, ok := os.LookupEnv(""PORT"")"
code_update,"add method receiver declaration",,"func (s *Service) Execute() error {"
code_update,"add pointer receiver method pattern",,"func (p *Parser) Parse(input string) error {"
code_update,"add value receiver method pattern",,"func (p Point) String() string {"
code_update,"add unit test function signature",,"func TestProcess(t *testing.T) {"
code_update,"add benchmark test function signature",,"func BenchmarkProcess(b *testing.B) {"
code_update,"add example test function signature",,"func ExampleProcess() {"
code_update,"add t run subtest call",,"t.Run(""success case"", func(t *testing.T) {"
code_update,"add t fatal error check",,"if err != nil {
	t.Fatalf(""unexpected error: %v"", err)
}"
code_update,"add t error logging call",,"t.Errorf(""expected %v, got %v"", expected, actual)"
code_update,"add t parallel execution call",,"t.Parallel()"
code_update,"add test cleanup hook",,"t.Cleanup(func() {"
code_update,"add table driven test loop pattern",,"for _, tt := range tests {"
code_update,"add pointer string conversion helper pattern",,"func StringPtr(s string) *string { return &s }"
code_update,"add pointer int conversion helper pattern",,"func IntPtr(i int) *int { return &i }"
code_update,"add pointer bool conversion helper pattern",,"func BoolPtr(b bool) *bool { return &b }"
code_update,"add interface implementation check assertion",,"var _ MyInterface = (*MyStruct)(nil)"
code_update,"add atomic add int64 operation",,"atomic.AddInt64(&counter, 1)"
code_update,"add atomic load pointer call",,"atomic.LoadPointer(&ptr)"
code_update,"add sync map load call",,"val, ok := sm.Load(key)"
code_update,"add sync map store call",,"sm.Store(key, val)"
code_update,"add sync pool get cast pattern",,"item := pool.Get().(*Buffer)"
code_update,"add sync pool put call",,"pool.Put(buf)"
code_update,"add sync once do execution",,"once.Do(func() {"
code_update,"add generic function signature",,"func Map[T any, U any](s []T, f func(T) U) []U {"
code_update,"add generic struct definition",,"type Container[T any] struct {"
code_update,"add generic constraint interface",,"type Number interface {
	~int | ~float64
}"
code_update,"add type switch header",,"switch v := val.(type) {"
code_update,"add type switch string case",,"case string:"
code_update,"add type switch int case",,"case int:"
code_update,"add slice re-slicing operation",,"items = items[1:]"
code_update,"add slice clearing operation",,"items = items[:0]"
code_update,"add copy slice call",,"copy(dst, src)"
code_update,"add sort slice call",,"sort.Strings(names)"
code_update,"add custom sort slice stable call",,"sort.SliceStable(items, func(i, j int) bool {"
code_update,"add math max calculation",,"m := math.Max(a, b)"
code_update,"add math min calculation",,"m := math.Min(a, b)"
code_update,"add math abs calculation",,"v := math.Abs(val)"
code_update,"add rand intn call",,"n := rand.Intn(100)"
code_update,"add crypto rand read call",,"_, err := rand.Read(buf)"
code_update,"add sha256 sum call",,"hash := sha256.Sum256(data)"
code_update,"add base64 std encoding encode string",,"encoded := base64.StdEncoding.EncodeToString(data)"
code_update,"add base64 std encoding decode string",,"decoded, err := base64.StdEncoding.DecodeString(s)"
code_update,"add time now assignment",,"now := time.Now()"
code_update,"add time since calculation",,"elapsed := time.Since(start)"
code_update,"add time sleep call",,"time.Sleep(100 * time.Millisecond)"
code_update,"add time parse call",,"t, err := time.Parse(time.RFC3339, str)"
code_update,"add time format call",,"s := t.Format(time.RFC3339)"
code_update,"add time ticker setup",,"ticker := time.NewTicker(1 * time.Second)"
code_update,"add time ticker stop call",,"ticker.Stop()"
code_update,"add time timer setup",,"timer := time.NewTimer(5 * time.Second)"
social,"hello how are you","I am doing well, ready to help you update your Go code.",
social,"what can you do","I can process natural language requests to modify Go code, adjust AST nodes, and return code snippets.",
social,"thank you for your help","You're welcome! Let me know if you need any more Go code updates.",
social,"hi there","Hello! How can I help you with your Go code today?",
social,"good morning","Good morning! Ready to assist with any Go code updates.",
social,"how are you doing","I'm doing great, thanks for asking! What can I help you with?",
social,"nice to meet you","Nice to meet you too! I'm here to help with Go code.",
social,"bye","Goodbye! Feel free to come back anytime.",
social,"what is your name","I'm Gollemer, your Go code assistant.",
code_update,"add opening brace to else statement",,"} else {"
code_update,"add opening brace to else if condition",,"} else if err != nil {"
code_update,"add opening brace to case statement",,"case 1:"
code_update,"add opening brace to default case",,"default:"
social,"hello","Hello! Ready to assist with your Go code today.",
social,"good evening","Good evening! How can I help you modify your Go code?",
social,"who created you","I was created to assist developers with automated Go code modifications.",
social,"thanks","You're welcome! Let me know if you need any more Go refactoring.",
social,"see you later","See you later! Have a great time coding.",
social,"can you write go code","Yes, I can generate, update, and refactor Go code snippets for you.",
social,"are you an ai","Yes, I am an AI designed to assist with Go programming tasks.",
social,"what language do you support","I specialize in processing and refactoring Go (Golang) code.",
social,"good night","Good night! Feel free to reach out next time you need help with Go.",
social,"hey","Hey there! What Go code updates can I make for you today?",
social,"how's it going","It's going great! How can I help you with your Go project?",
social,"appreciate it","Happy to help! Let me know if you need anything else.",
social,"what is golang","Go (or Golang) is an open-source programming language designed at Google for simplicity and efficiency.",
social,"tell me a joke","Why do Go programmers wear glasses? Because they don't C#!",
social,"can you edit code","Yes, I can modify AST nodes, fix syntax, and update Go code blocks.",
social,"cool","Glad you think so! Let's get back to refactoring whenever you're ready.",
social,"awesome","Thanks! Ready for your next Go snippet.",
social,"great job","Thank you! I aim to make Go code editing as seamless as possible.",
social,"help","Sure! Ask me to add syntax constructs, refactor functions, or update Go code.",
social,"are you busy","Never too busy to help you with Go code!",
code_update,"add package main clause",,"package main"
code_update,"add import fmt statement",,"import ""fmt"""
code_update,"add import time statement",,"import ""time"""
code_update,"add import context statement",,"import ""context"""
code_update,"add import os statement",,"import ""os"""
code_update,"add import net/http statement",,"import ""net/http"""
code_update,"add import sync statement",,"import ""sync"""
code_update,"add import strings statement",,"import ""strings"""
code_update,"add import encoding/json statement",,"import ""encoding/json"""
code_update,"add import math statement",,"import ""math"""
code_update,"add main function declaration",,"func main() {"
code_update,"add return nil statement",,"return nil"
code_update,"add return true statement",,"return true"
code_update,"add return false statement",,"return false"
code_update,"add return err statement",,"return err"
code_update,"add closing brace",,"}"
code_update,"add opening brace for struct",,"type Config struct {"
code_update,"add opening brace for interface",,"type Service interface {"
code_update,"add closing parenthesis",,")"
code_update,"add opening parenthesis",,"("
code_update,"add channel receive statement",,"<-ch"
code_update,"add deferred close body",,"defer file.Close()"
code_update,"add defer unlock statement",,"defer mu.Unlock()"
code_update,"add panic call",,"panic(""unexpected state"")"
code_update,"add go routine invocation",,"go func() {"
code_update,"add select block start",,"select {"
code_update,"add range loop over slice",,"for _, item := range items {"
code_update,"add infinite for loop",,"for {"
code_update,"add standard for loop header",,"for i := 0; i < n; i++ {"
code_update,"add while-style for loop",,"for condition {"
code_update,"add type assertion check",,"v, ok := val.(string)"
code_update,"add short variable declaration integer",,"x := 0"
code_update,"add short variable declaration string",,"name := """""
code_update,"add short variable declaration slice",,"items := []string{}"
code_update,"add short variable declaration map",,"m := make(map[string]int)"
code_update,"add error check against nil",,"if err != nil {"
code_update,"add nil check for pointer",,"if ptr == nil {"
code_update,"add check for empty string",,"if str == """" {"
code_update,"add check for zero length",,"if len(items) == 0 {"
code_update,"add check for positive number",,"if count > 0 {"
code_update,"add struct tag for json json omit empty",,"`json:""name,omitempty""`"
code_update,"add struct tag for json ID",,"`json:""id""`"
code_update,"add print statement with println",,"fmt.Println(""Hello"")"
code_update,"add formatted print statement",,"fmt.Printf(""%v\n"", val)"
code_update,"add log error statement",,"log.Printf(""error: %v"", err)"
code_update,"add log fatal statement",,"log.Fatalf(""fatal error: %v"", err)"
code_update,"add return custom error",,"return errors.New(""something went wrong"")"
code_update,"add fmt error wrapping",,"return fmt.Errorf(""failed to process: %w"", err)"
code_update,"add context background call",,"ctx := context.Background()"
code_update,"add context with timeout call",,"ctx, cancel := context.WithTimeout(context.Background(), 5*time.Second)"
code_update,"add cancel deferred invocation",,"defer cancel()"
code_update,"add append to slice",,"list = append(list, item)"
code_update,"add make byte slice",,"buf := make([]byte, 1024)"
code_update,"add channel creation",,"ch := make(chan int)"
code_update,"add buffered channel creation",,"ch := make(chan string, 10)"
code_update,"add map deletion key",,"delete(m, key)"
code_update,"add sync mutex lock",,"mu.Lock()"
code_update,"add sync mutex unlock",,"mu.Unlock()"
code_update,"add waitgroup add statement",,"wg.Add(1)"
code_update,"add waitgroup done statement",,"wg.Done()"
code_update,"add waitgroup wait statement",,"wg.Wait()"
code_update,"add http handlefunc block",,"http.HandleFunc(""/"", func(w http.ResponseWriter, r *http.Request) {"
code_update,"add http status ok write",,"w.WriteHeader(http.StatusOK)"
code_update,"add http status not found write",,"w.WriteHeader(http.StatusNotFound)"
code_update,"add http json response content type header",,"w.Header().Set(""Content-Type"", ""application/json"")"
code_update,"add json new encoder encode call",,"json.NewEncoder(w).Encode(resp)"
code_update,"add json marshal call",,"data, err := json.Marshal(v)"
code_update,"add json unmarshal call",,"err := json.Unmarshal(data, &target)"
code_update,"add break statement",,"break"
code_update,"add continue statement",,"continue"
code_update,"add fallthrough statement",,"fallthrough"
code_update,"add comment for TODO",,"// TODO: implement this function"
code_update,"add comment for FIXME",,"// FIXME: handle potential race condition"
code_update,"add nolint directive comment",,"//nolint:gocyclo"
code_update,"add go embed directive",,"//go:embed static/*"
code_update,"add go build tag header",,"//go:build integration"
code_update,"add const declaration block",,"const ("
code_update,"add var declaration block",,"var ("
code_update,"add iota enum definition",,"const (
	A = iota
	B
)"
code_update,"add string join function call",,"result := strings.Join(slice, "","")"
code_update,"add string split function call",,"parts := strings.Split(str, "","")"
code_update,"add string contains check",,"if strings.Contains(s, ""substr"") {"
code_update,"add string has prefix check",,"if strings.HasPrefix(s, ""prefix"") {"
code_update,"add string has suffix check",,"if strings.HasSuffix(s, ""suffix"") {"
code_update,"add string trim space call",,"cleaned := strings.TrimSpace(raw)"
code_update,"add os exit non zero call",,"os.Exit(1)"
code_update,"add os getenv call",,"val := os.Getenv(""API_KEY"")"
code_update,"add os lookupenv call",,"val, ok := os.LookupEnv(""PORT"")"
code_update,"add method receiver declaration",,"func (s *Service) Execute() error {"
code_update,"add pointer receiver method pattern",,"func (p *Parser) Parse(input string) error {"
code_update,"add value receiver method pattern",,"func (p Point) String() string {"
code_update,"add unit test function signature",,"func TestProcess(t *testing.T) {"
code_update,"add benchmark test function signature",,"func BenchmarkProcess(b *testing.B) {"
code_update,"add example test function signature",,"func ExampleProcess() {"
code_update,"add t run subtest call",,"t.Run(""success case"", func(t *testing.T) {"
code_update,"add t fatal error check",,"if err != nil {
	t.Fatalf(""unexpected error: %v"", err)
}"
code_update,"add t error logging call",,"t.Errorf(""expected %v, got %v"", expected, actual)"
code_update,"add t parallel execution call",,"t.Parallel()"
code_update,"add test cleanup hook",,"t.Cleanup(func() {"
code_update,"add table driven test loop pattern",,"for _, tt := range tests {"
code_update,"add pointer string conversion helper pattern",,"func StringPtr(s string) *string { return &s }"
code_update,"add pointer int conversion helper pattern",,"func IntPtr(i int) *int { return &i }"
code_update,"add pointer bool conversion helper pattern",,"func BoolPtr(b bool) *bool { return &b }"
code_update,"add interface implementation check assertion",,"var _ MyInterface = (*MyStruct)(nil)"
code_update,"add atomic add int64 operation",,"atomic.AddInt64(&counter, 1)"
code_update,"add atomic load pointer call",,"atomic.LoadPointer(&ptr)"
code_update,"add sync map load call",,"val, ok := sm.Load(key)"
code_update,"add sync map store call",,"sm.Store(key, val)"
code_update,"add sync pool get cast pattern",,"item := pool.Get().(*Buffer)"
code_update,"add sync pool put call",,"pool.Put(buf)"
code_update,"add sync once do execution",,"once.Do(func() {"
code_update,"add generic function signature",,"func Map[T any, U any](s []T, f func(T) U) []U {"
code_update,"add generic struct definition",,"type Container[T any] struct {"
code_update,"add generic constraint interface",,"type Number interface {
	~int | ~float64
}"
code_update,"add type switch header",,"switch v := val.(type) {"
code_update,"add type switch string case",,"case string:"
code_update,"add type switch int case",,"case int:"
code_update,"add slice re-slicing operation",,"items = items[1:]"
code_update,"add slice clearing operation",,"items = items[:0]"
code_update,"add copy slice call",,"copy(dst, src)"
code_update,"add sort slice call",,"sort.Strings(names)"
code_update,"add custom sort slice stable call",,"sort.SliceStable(items, func(i, j int) bool {"
code_update,"add math max calculation",,"m := math.Max(a, b)"
code_update,"add math min calculation",,"m := math.Min(a, b)"
code_update,"add math abs calculation",,"v := math.Abs(val)"
code_update,"add rand intn call",,"n := rand.Intn(100)"
code_update,"add crypto rand read call",,"_, err := rand.Read(buf)"
code_update,"add sha256 sum call",,"hash := sha256.Sum256(data)"
code_update,"add base64 std encoding encode string",,"encoded := base64.StdEncoding.EncodeToString(data)"
code_update,"add base64 std encoding decode string",,"decoded, err := base64.StdEncoding.DecodeString(s)"
code_update,"add time now assignment",,"now := time.Now()"
code_update,"add time since calculation",,"elapsed := time.Since(start)"
code_update,"add time sleep call",,"time.Sleep(100 * time.Millisecond)"
code_update,"add time parse call",,"t, err := time.Parse(time.RFC3339, str)"
code_update,"add time format call",,"s := t.Format(time.RFC3339)"
code_update,"add time ticker setup",,"ticker := time.NewTicker(1 * time.Second)"
code_update,"add time ticker stop call",,"ticker.Stop()"
code_update,"add time timer setup",,"timer := time.NewTimer(5 * time.Second)"
file_create,"create main.go file with package main clause",,"package main"
file_create,"create doc.go file with package documentation comment",,"// Package main provides entry point operations.\npackage main"
file_create,"create go.mod file for example module",,"module example.com/app\n\ngo 1.22"
file_create,"create Dockerfile for Go application build",,"FROM golang:1.22-alpine\nWORKDIR /app\nCOPY . .\nRUN go build -o main .\nCMD [""./main""]"
file_create,"create Makefile for building Go project",,"build:\n\tgo build -o bin/app .\nrun:\n\tgo run main.go\ntest:\n\tgo test -v ./..."
file_create,"create .gitignore for Go binary and vendor",,"# Binaries\n/bin\n*.exe\n*.exe~\n*.dll\n*.so\n*.dylib\n\n# Vendor\nvendor/"
folder_create,"create internal directory structure",,"mkdir -p internal/service internal/repository internal/handler"
folder_create,"create pkg directory structure for shared packages",,"mkdir -p pkg/logger pkg/config pkg/utils"
folder_create,"create cmd app directory structure",,"mkdir -p cmd/api cmd/cli"
folder_create,"create test fixtures folder",,"mkdir -p test/fixtures"
file_delete,"delete main.go temporary file",,"rm main.go"
file_delete,"delete compiled binary from bin directory",,"rm bin/app"
file_delete,"delete unused test helper file",,"rm internal/handler/handler_test_old.go"
folder_delete,"delete build output folder",,"rm -rf bin/"
folder_delete,"delete temporary vendor directory",,"rm -rf vendor/"
folder_delete,"delete cached test artifacts directory",,"rm -rf .cache/"
code_update,"add package main clause",,"package main"
code_update,"add package handler clause",,"package handler"
code_update,"add package service clause",,"package service"
code_update,"add package repository clause",,"package repository"
code_update,"add import fmt statement",,"import ""fmt"""
code_update,"add import time statement",,"import ""time"""
code_update,"add import context statement",,"import ""context"""
code_update,"add import os statement",,"import ""os"""
code_update,"add import net/http statement",,"import ""net/http"""
code_update,"add import sync statement",,"import ""sync"""
code_update,"add import strings statement",,"import ""strings"""
code_update,"add import encoding/json statement",,"import ""encoding/json"""
code_update,"add import math statement",,"import ""math"""
code_update,"add import io statement",,"import ""io"""
code_update,"add import errors statement",,"import ""errors"""
code_update,"add import log statement",,"import ""log"""
code_update,"add import testing statement",,"import ""testing"""
code_update,"add main function declaration",,"func main() {"
code_update,"add init function declaration",,"func init() {"
code_update,"add return nil statement",,"return nil"
code_update,"add return true statement",,"return true"
code_update,"add return false statement",,"return false"
code_update,"add return err statement",,"return err"
code_update,"add return custom string statement",,"return ""success"""
code_update,"add return empty string statement",,"return """""
code_update,"add return zero integer statement",,"return 0"
code_update,"add return empty slice statement",,"return nil, err"
code_update,"add closing brace",,"}"
code_update,"add struct definition for User",,"type User struct {\n\tID int `json:""id""`\n\tName string `json:""name""`\n}"
code_update,"add struct definition for Request payload",,"type Request struct {\n\tPayload string `json:""payload""`\n}"
code_update,"add interface definition for Service",,"type Service interface {\n\tExecute(ctx context.Context) error\n}"
code_update,"add interface definition for Reader",,"type DataReader interface {\n\tReadData() ([]byte, error)\n}"
code_update,"add constructor pattern for Struct",,"func NewService() *Service {\n\treturn &Service{}\n}"
code_update,"add method with context parameter",,"func (s *Service) DoWork(ctx context.Context) error {"
code_update,"add defer rollback transaction call",,"defer tx.Rollback()"
code_update,"add defer file close call",,"defer file.Close()"
code_update,"add defer body close call",,"defer resp.Body.Close()"
code_update,"add channel receive assignment",,"msg := <-ch"
code_update,"add channel send operation",,"ch <- data"
code_update,"add select default case",,"default:\n\treturn nil"
code_update,"add select context done case",,"case <-ctx.Done():\n\treturn ctx.Err()"
code_update,"add for range map loop",,"for key, value := range myMap {"
code_update,"add for range slice with index loop",,"for idx, val := range slice {"
code_update,"add error checking with fmt error return",,"if err != nil {\n\treturn fmt.Errorf(""operation failed: %w"", err)\n}"
code_update,"add HTTP GET endpoint handler block",,"http.HandleFunc(""/health"", func(w http.ResponseWriter, r *http.Request) {\n\tw.WriteHeader(http.StatusOK)\n})"
code_update,"add HTTP POST JSON decoder snippet",,"var req Request\nif err := json.NewDecoder(r.Body).Decode(&req); err != nil {\n\thttp.Error(w, err.Error(), http.StatusBadRequest)\n\treturn\n}"
code_update,"add unit test assertion check",,"if got != want {\n\tt.Errorf(""got %v, want %v"", got, want)\n}"
code_edit,"rename variable name from oldVal to newVal",,"newVal := 100"
code_edit,"change status code from 200 to 201",,"w.WriteHeader(http.StatusCreated)"
code_edit,"refactor string concats to fmt.Sprintf",,"msg := fmt.Sprintf(""user %s logged in"", username)"
code_edit,"wrap raw error with context message",,"return fmt.Errorf(""database query failed: %w"", err)"
code_delete,"remove print debug statement",,""
code_delete,"remove unused import log package",,""
code_delete,"remove deprecated fallback function",,""
file_create,"create main.go entry point file",,"package main\n\nfunc main() {\n}"
file_create,"create configuration file config.json",,"{\n  \"port\": 8080,\n  \"env\": \"development\"\n}"
file_create,"create README.md file for project documentation",,"# Go Microservice\n\n## Usage\n```bash\ngo run main.go\n```"
file_create,"create .env environment variable file",,"PORT=8080\nDB_HOST=localhost\nDB_PORT=5432"
file_create,"create .golangci.yml linter configuration file",,"linters:\n  enable:\n    - errcheck\n    - gosimple\n    - govet"
file_create,"create github workflow ci yaml file",,"name: Go CI\non: [push, pull_request]\njobs:\n  build:\n    runs-on: ubuntu-latest\n    steps:\n      - uses: actions/checkout@v3\n      - uses: actions/setup-go@v4\n        with:\n          go-version: '1.22'\n      - run: go test ./..."
file_create,"create mock file for user repository",,"package mocks\n\ntype MockUserRepository struct{}"
folder_create,"create cmd microservice folder structure",,"mkdir -p cmd/server cmd/worker"
folder_create,"create internal domain directories",,"mkdir -p internal/domain internal/ports internal/adapters"
folder_create,"create database migration folder",,"mkdir -p migrations"
folder_create,"create deployment manifests directory",,"mkdir -p deployments/k8s deployments/docker"
folder_create,"create docs architecture decision records folder",,"mkdir -p docs/adr"
file_delete,"delete temporary log file app.log",,"rm app.log"
file_delete,"delete old configuration yaml file",,"rm config.old.yaml"
file_delete,"delete coverage text output profile",,"rm coverage.out"
folder_delete,"delete legacy microservice module folder",,"rm -rf internal/legacy/"
folder_delete,"delete generated protobuf code output directory",,"rm -rf pkg/pb/"
code_update,"add package main declaration",,"package main"
code_update,"add package controller declaration",,"package controller"
code_update,"add package model declaration",,"package model"
code_update,"add package middleware declaration",,"package middleware"
code_update,"add import fmt clause",,"import ""fmt"""
code_update,"add import time clause",,"import ""time"""
code_update,"add import context clause",,"import ""context"""
code_update,"add import os clause",,"import ""os"""
code_update,"add import net/http clause",,"import ""net/http"""
code_update,"add import sync clause",,"import ""sync"""
code_update,"add import strings clause",,"import ""strings"""
code_update,"add import encoding/json clause",,"import ""encoding/json"""
code_update,"add import math clause",,"import ""math"""
code_update,"add import errors clause",,"import ""errors"""
code_update,"add import log clause",,"import ""log"""
code_update,"add import io clause",,"import ""io"""
code_update,"add import testing clause",,"import ""testing"""
code_update,"add import database/sql clause",,"import ""database/sql"""
code_update,"add import crypto/rand clause",,"import ""crypto/rand"""
code_update,"add import flag clause",,"import ""flag"""
code_update,"add main function header",,"func main() {"
code_update,"add return nil header",,"return nil"
code_update,"add return true header",,"return true"
code_update,"add return false header",,"return false"
code_update,"add return err header",,"return err"
code_update,"add return empty slice pattern",,"return []string{}, nil"
code_update,"add return error with status code pattern",,"return http.StatusInternalServerError, err"
code_update,"add return pointer to empty struct",,"return &Config{}, nil"
code_update,"add struct fields for DB connection settings",,"type DBConfig struct {\n\tHost string `json:""host""`\n\tPort int `json:""port""`\n}"
code_update,"add struct fields for Auth Token payload",,"type TokenClaims struct {\n\tUserID string `json:""user_id""`\n\tExpiresAt int64 `json:""exp""`\n}"
code_update,"add interface declaration for UserRepository",,"type UserRepository interface {\n\tFindByID(ctx context.Context, id string) (*User, error)\n}"
code_update,"add interface declaration for CacheService",,"type Cache interface {\n\tGet(key string) ([]byte, error)\n\tSet(key string, val []byte) error\n}"
code_update,"add sql transaction setup pattern",,"tx, err := db.BeginTx(ctx, nil)\nif err != nil {\n\treturn err\n}"
code_update,"add sql rows scan loop pattern",,"for rows.Next() {\n\tvar item Item\n\tif err := rows.Scan(&item.ID, &item.Name); err != nil {\n\t\treturn nil, err\n\t}\n}"
code_update,"add http middleware chain pattern",,"func LoggingMiddleware(next http.Handler) http.Handler {\n\treturn http.HandlerFunc(func(w http.ResponseWriter, r *http.Request) {\n\t\tlog.Println(r.Method, r.URL.Path)\n\t\tnext.ServeHTTP(w, r)\n\t})\n}"
code_update,"add http error response response pattern",,"http.Error(w, http.StatusText(http.StatusBadRequest), http.StatusBadRequest)"
code_update,"add context value key type pattern",,"type ctxKey string\nconst userCtxKey ctxKey = ""user"""
